,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
0,0,0.756698616934977,2022-03-24 05:54:11.672309,2022-03-24 05:59:14.345832,0 days 00:05:02.673523,0.014221328742905087,8192,0.0009289728088113785,1e-05,0.005,55.0,COMPLETE
1,1,0.7607196748804936,2022-03-24 05:59:14.346651,2022-03-24 06:02:20.335817,0 days 00:03:05.989166,0.011921908536463499,8192,0.0006487673032722362,1e-05,0.005,85.0,COMPLETE
2,2,0.5001919644899451,2022-03-24 06:02:20.336725,2022-03-24 06:02:42.684222,0 days 00:00:22.347497,0.011917207594128888,8192,0.0008958625190413324,1e-05,0.001,10.0,COMPLETE
3,3,0.6274803720134582,2022-03-24 06:02:42.685113,2022-03-24 06:05:49.355810,0 days 00:03:06.670697,0.011963923980504148,8192,0.0009180393817686888,1e-05,0.001,55.0,COMPLETE
4,4,0.503198493963693,2022-03-24 06:05:49.356775,2022-03-24 06:06:11.920974,0 days 00:00:22.564199,0.010101091987201629,8192,0.000916309922773969,1e-05,0.001,35.0,COMPLETE
5,5,0.5012797115754365,2022-03-24 06:06:11.921829,2022-03-24 06:06:34.357467,0 days 00:00:22.435638,0.01489309171116382,8192,0.0008995792821083618,1e-05,0.001,80.0,COMPLETE
6,6,0.7547219924698595,2022-03-24 06:06:34.358375,2022-03-24 06:08:43.668295,0 days 00:02:09.309920,0.013603163273629584,8192,0.0007910098960375536,1e-05,0.01,50.0,COMPLETE
7,7,0.6274795697370725,2022-03-24 06:08:43.669885,2022-03-24 06:11:45.724642,0 days 00:03:02.054757,0.012609241608750358,8192,0.0007073309699952618,1e-05,0.001,55.0,COMPLETE
8,8,0.5046878688100429,2022-03-24 06:11:45.725531,2022-03-24 06:12:08.080365,0 days 00:00:22.354834,0.012280751661082744,8192,0.0007842169744343243,1e-05,0.01,30.0,COMPLETE
9,9,0.49956661824232346,2022-03-24 06:12:08.081272,2022-03-24 06:12:35.542469,0 days 00:00:27.461197,0.010748374335918416,8192,0.0006111606941257939,1e-05,0.005,5.0,COMPLETE
10,10,0.7626824812242207,2022-03-24 06:12:35.543988,2022-03-24 06:15:38.153397,0 days 00:03:02.609409,0.010713237078146299,8192,0.000506350394665725,1e-05,0.005,100.0,COMPLETE
11,11,0.5021712892687121,2022-03-24 06:15:38.154320,2022-03-24 06:16:00.677897,0 days 00:00:22.523577,0.010875444311980263,8192,0.0005061125419821181,1e-05,0.005,95.0,COMPLETE
12,12,0.7626773420416223,2022-03-24 06:16:00.678821,2022-03-24 06:19:04.268029,0 days 00:03:03.589208,0.010976798374459867,8192,0.0005313569787568235,1e-05,0.005,100.0,COMPLETE
13,13,0.7626983191340837,2022-03-24 06:19:04.268895,2022-03-24 06:22:06.428543,0 days 00:03:02.159648,0.01000296866138009,8192,0.0005231183912350374,1e-05,0.005,100.0,COMPLETE
14,14,0.7600031920860053,2022-03-24 06:22:06.429411,2022-03-24 06:25:07.892607,0 days 00:03:01.463196,0.01000361154491344,8192,0.0005584991875166814,1e-05,0.005,75.0,COMPLETE
15,15,0.7627032263485897,2022-03-24 06:25:07.894156,2022-03-24 06:28:10.546143,0 days 00:03:02.651987,0.010038880253639455,8192,0.000593302127428951,1e-05,0.005,100.0,COMPLETE
16,16,0.7580045767894152,2022-03-24 06:28:10.547652,2022-03-24 06:31:11.811526,0 days 00:03:01.263874,0.010237341658628026,8192,0.0006126159315496251,1e-05,0.005,70.0,COMPLETE
17,17,0.7588745237784775,2022-03-24 06:31:11.812385,2022-03-24 06:33:16.563472,0 days 00:02:04.751087,0.011202367352784487,8192,0.0006878510591904585,1e-05,0.01,90.0,COMPLETE
18,18,0.7580299907522395,2022-03-24 06:33:16.564358,2022-03-24 06:36:17.791243,0 days 00:03:01.226885,0.010014307189851853,8192,0.0006004098933220832,1e-05,0.005,70.0,COMPLETE
19,19,0.7626069134529662,2022-03-24 06:36:17.792164,2022-03-24 06:39:21.303662,0 days 00:03:03.511498,0.013049985600849084,8192,0.0005840755048619399,1e-05,0.005,100.0,COMPLETE
